"group","annotation"
"USA","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"China","2: Carb+"
"Malaysia","0: ESBL-, Carb-"
"Germany","1: ESBL+, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","1: ESBL+, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","1: ESBL+, Carb-"
"Germany","1: ESBL+, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","1: ESBL+, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","1: ESBL+, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","1: ESBL+, Carb-"
"Germany","0: ESBL-, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"Canada","2: Carb+"
"Netherlands","1: ESBL+, Carb-"
"Netherlands","2: Carb+"
"Canada","2: Carb+"
"Canada","2: Carb+"
"Canada","2: Carb+"
"Canada","2: Carb+"
"Cambodia","1: ESBL+, Carb-"
"Cambodia","1: ESBL+, Carb-"
"Cambodia","1: ESBL+, Carb-"
"Cambodia","1: ESBL+, Carb-"
"Cambodia","1: ESBL+, Carb-"
"Cambodia","1: ESBL+, Carb-"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","1: ESBL+, Carb-"
"Pakistan","2: Carb+"
"Pakistan","1: ESBL+, Carb-"
"France","2: Carb+"
"USA","2: Carb+"
"China","1: ESBL+, Carb-"
"Switzerland","2: Carb+"
"Switzerland","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"USA","2: Carb+"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"Italy","0: ESBL-, Carb-"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"Portugal","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"India","0: ESBL-, Carb-"
"China","1: ESBL+, Carb-"
"Mexico","0: ESBL-, Carb-"
"India","0: ESBL-, Carb-"
"Denmark","0: ESBL-, Carb-"
"India","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"Mexico","0: ESBL-, Carb-"
"Netherlands","1: ESBL+, Carb-"
"Netherlands","1: ESBL+, Carb-"
"Netherlands","2: Carb+"
"Netherlands","2: Carb+"
"Netherlands","2: Carb+"
"Netherlands","1: ESBL+, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"South Korea","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"UK","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
